Sector,Size,code,variable,value
ALL,TOTAL,Export to Net Sales,2009,15.90238237051187
"Agriculture, forestry and fishing",TOTAL,Export to Net Sales,2009,16.08912009464339
Mining and quarrying,TOTAL,Export to Net Sales,2009,13.36059617893041
Manufacturing,TOTAL,Export to Net Sales,2009,27.54034944476481
"Electricity, gas, steam and air conditioning supply",TOTAL,Export to Net Sales,2009,0.4872466629475326
Water supply; sewerage; waste management and remediation activities,TOTAL,Export to Net Sales,2009,2.477128129570834
Construction,TOTAL,Export to Net Sales,2009,5.341902921722666
Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Export to Net Sales,2009,11.38783300728814
Transporting and storage,TOTAL,Export to Net Sales,2009,27.07770140384291
Accommodation and food service activities,TOTAL,Export to Net Sales,2009,4.680885209945497
Information and communication,TOTAL,Export to Net Sales,2009,5.825393752154532
Real estate activities,TOTAL,Export to Net Sales,2009,1.051516110217223
"Professional, scientific and technical activities",TOTAL,Export to Net Sales,2009,5.300897777235879
Administrative and support service activities,TOTAL,Export to Net Sales,2009,19.76734678044854
Education,TOTAL,Export to Net Sales,2009,1.14992683849877
Human health and social work activities,TOTAL,Export to Net Sales,2009,0.4790290183166287
"Arts, entertainment and recreation",TOTAL,Export to Net Sales,2009,2.112647927401321
Other services activities,TOTAL,Export to Net Sales,2009,2.928518760169839
"Agriculture, forestry and fishing",LARGE,Export to Net Sales,2009,47.4500689871043
,MEDIUM,Export to Net Sales,2009,8.155677539632954
,SMALL,Export to Net Sales,2009,5.335478437710545
,MICRO,Export to Net Sales,2009,3.915183650554744
Mining and quarrying,LARGE,Export to Net Sales,2009,13.68348696441847
,MEDIUM,Export to Net Sales,2009,15.48542583884949
,SMALL,Export to Net Sales,2009,10.06839828638937
,MICRO,Export to Net Sales,2009,7.72252359936013
Manufacturing,LARGE,Export to Net Sales,2009,32.66432664406825
,MEDIUM,Export to Net Sales,2009,21.79591162863197
,SMALL,Export to Net Sales,2009,13.85470198669229
,MICRO,Export to Net Sales,2009,7.586913914640775
"Electricity, gas, steam and air conditioning supply",LARGE,Export to Net Sales,2009,0.4140214706216238
,MEDIUM,Export to Net Sales,2009,4.197084040951039
,SMALL,Export to Net Sales,2009,0.5149041388744794
,MICRO,Export to Net Sales,2009,8.170725374516632
Water supply; sewerage; waste management and remediation activities,LARGE,Export to Net Sales,2009,2.051551725248217
,MEDIUM,Export to Net Sales,2009,3.195361134154738
,SMALL,Export to Net Sales,2009,3.208889246978769
,MICRO,Export to Net Sales,2009,1.731992309751722
Construction,LARGE,Export to Net Sales,2009,8.618628585212045
,MEDIUM,Export to Net Sales,2009,4.535456589085019
,SMALL,Export to Net Sales,2009,3.256031800124814
,MICRO,Export to Net Sales,2009,2.98295167308625
Wholesale and retail trade; repair of motor vehicles and motorcycles,LARGE,Export to Net Sales,2009,12.51578175827906
,MEDIUM,Export to Net Sales,2009,12.04493196645318
,SMALL,Export to Net Sales,2009,10.0019112936064
,MICRO,Export to Net Sales,2009,7.90210036484329
Transporting and storage,LARGE,Export to Net Sales,2009,26.10390083539091
,MEDIUM,Export to Net Sales,2009,31.61129474413003
,SMALL,Export to Net Sales,2009,33.85248646587565
,MICRO,Export to Net Sales,2009,13.21381028082956
Accommodation and food service activities,LARGE,Export to Net Sales,2009,8.312094110372716
,MEDIUM,Export to Net Sales,2009,3.529079766531547
,SMALL,Export to Net Sales,2009,1.83086780903452
,MICRO,Export to Net Sales,2009,1.285269769195202
Information and communication,LARGE,Export to Net Sales,2009,5.824736780263247
,MEDIUM,Export to Net Sales,2009,7.182769304209881
,SMALL,Export to Net Sales,2009,5.389306134311559
,MICRO,Export to Net Sales,2009,4.154300840784832
Real estate activities,LARGE,Export to Net Sales,2009,0.04029214745312142
,MEDIUM,Export to Net Sales,2009,1.352426096968011
,SMALL,Export to Net Sales,2009,1.968934720958602
,MICRO,Export to Net Sales,2009,3.063338737387281
"Professional, scientific and technical activities",LARGE,Export to Net Sales,2009,3.727680177402322
,MEDIUM,Export to Net Sales,2009,7.307406672409751
,SMALL,Export to Net Sales,2009,6.162687189563604
,MICRO,Export to Net Sales,2009,5.339427105249708
