,name,code,Large,Medium,Micro,Small
2009,A,Land,8.573580417606594,28.719247481117698,18.90286559339844,14.40862475183049
2010,A,Land,6.342949970534098,29.622368671993776,20.318184132661326,12.981264629668413
2011,A,Land,5.458911177571173,26.675678912223198,17.521614997952888,19.531122546927207
2012,A,Land,22.30290609013756,8.846759871786753,16.137295707970935,17.833984582160618
2013,A,Land,3.234849223320519,29.962950320360584,16.29170619447673,16.401099714919056
2014,A,Land,4.076085876326886,28.390953245546214,16.346752088560216,16.043786792577812
2015,A,Land,4.762358018590897,28.60002832357048,19.08754083693002,17.181667530176533
2016,A,Land,21.445932758448357,14.236033048664698,20.114515811077403,17.330647855338572
2017,A,Land,22.558331295954165,13.124594028351346,20.28033573693673,18.351911404552816
2018,A,Land,11.56916568054137,23.89075638226222,20.479544700540323,16.848793440625794
2019,A,Land,12.108243404207935,22.786063271178744,22.722334645059778,19.109107343619517
2020,A,Land,22.55549002385787,9.662676127976235,23.873043639124223,20.01046942771673
2009,A,Land Improvments,9.747907347800382,9.65763085832727,3.010025279643435,2.712370315566677
2010,A,Land Improvments,10.364035712841407,6.240134285302547,2.6836220894310414,2.5738263341277055
2011,A,Land Improvments,11.148753803785736,8.79840677545773,2.757326206169358,2.8084252952404807
2012,A,Land Improvments,8.507527514497324,8.80794533784037,1.991033370645661,3.117737921287108
2013,A,Land Improvments,9.370401668364561,7.215163293351392,3.277293421682771,3.6101348104050093
2014,A,Land Improvments,10.816139639600639,3.261139927388189,3.266653787212561,5.608090024801718
2015,A,Land Improvments,12.543939046528275,5.145698267734779,2.988300283264982,4.184333816430809
2016,A,Land Improvments,11.36034796971599,5.40584927549231,2.2962938139686067,4.707519479660943
2017,A,Land Improvments,9.994630040606966,4.925054919616665,2.554304696578196,4.694494067039341
2018,A,Land Improvments,13.858067223225342,4.517391935580703,2.8818024977664614,3.7249582525806963
2019,A,Land Improvments,12.383698597938107,6.039469906048075,3.062825359297593,3.679780436338516
2020,A,Land Improvments,9.231006547239504,6.159835461561724,2.6696867382946823,4.2120579046910605
2009,A,Buildings,63.24938191560576,29.48895410513036,19.20831402259737,30.516061461824524
2010,A,Buildings,49.942043203917144,28.35004673143237,19.775002364277107,26.21966576338382
2011,A,Buildings,40.51522325404087,27.145674242408724,16.46532138046796,25.814890632008254
2012,A,Buildings,25.808015744456124,36.65709512955401,18.823918058783487,25.200022356349955
2013,A,Buildings,29.192958064298306,27.780222996242053,26.21831793260253,26.616165520819052
2014,A,Buildings,35.41119388162974,27.970501452245017,31.434121468562076,28.179013781924045
2015,A,Buildings,39.79260604635844,26.678734255116893,28.81175260491216,29.183838068738137
2016,A,Buildings,35.19022844321244,34.278910814688004,31.325517857310103,26.875799484693786
2017,A,Buildings,34.820820688716786,34.84267937030526,29.77873258637277,26.032540997143155
2018,A,Buildings,35.89429687082695,36.30268522490962,30.56960321598391,27.006017969903567
2019,A,Buildings,38.93806318555226,35.11830529174869,30.363894290526943,25.456813929456583
2020,A,Buildings,37.83968323088677,30.987115640103045,28.452414888849255,25.499722389955696
2009,A,"Machinery,Plant & Equipments",126.66568779637377,43.698168324331526,19.476076369847146,40.89341108298197
2010,A,"Machinery,Plant & Equipments",105.90260617509368,38.118686433710465,17.52315133935822,38.64926706965524
2011,A,"Machinery,Plant & Equipments",86.45011982017061,36.88693612487245,16.54375850010753,31.629269331106098
2012,A,"Machinery,Plant & Equipments",67.32102525702834,42.13401656798469,17.998633492390226,27.820457524991948
2013,A,"Machinery,Plant & Equipments",77.58562683735686,39.36468202952556,21.387154727672314,29.18313964173435
2014,A,"Machinery,Plant & Equipments",78.25777496355214,39.00571426415209,22.223913806121814,27.787623999565376
2015,A,"Machinery,Plant & Equipments",78.56548190121227,35.97896408265846,19.818795192510052,27.818140187382447
2016,A,"Machinery,Plant & Equipments",66.3035736539716,45.89448462931598,20.525544692274792,27.32841514150795
2017,A,"Machinery,Plant & Equipments",66.18587084881257,42.13938295093771,20.457629547253166,28.349455800266938
2018,A,"Machinery,Plant & Equipments",90.37115856636072,45.20840099814071,20.77614736822164,30.97307681259599
2019,A,"Machinery,Plant & Equipments",85.22123882541469,41.410949208288734,20.48139445801574,30.088062813670174
2020,A,"Machinery,Plant & Equipments",64.16584368753475,47.24275481276318,20.197936273354685,29.154702189816646
